<root>
	<node type='ReportEventNode' >
		<index>4613</index>
		<processID>12392</processID>
		<time>1697099473</time>
		<reporttime>1697099473</reporttime>
		<extdata>time%3D1711719</extdata>
		<timestring>23-10-12 16:31:13</timestring>
		<reporttimestring>23-10-12 16:31:13</reporttimestring>
		<attribute1>xl9_online_time</attribute1>
		<attribute2/>
		<cost1>0</cost1>
		<cost2>0</cost2>
		<cost3>0</cost3>
		<cost4>0</cost4>
	</node>
	<node type='ReportEventNode' >
		<index>4399</index>
		<processID>12392</processID>
		<time>1697099473</time>
		<reporttime>1697099473</reporttime>
		<extdata/>
		<timestring>23-10-12 16:31:13</timestring>
		<reporttimestring>23-10-12 16:31:13</reporttimestring>
		<attribute1>28.50</attribute1>
		<attribute2/>
		<cost1>0</cost1>
		<cost2>0</cost2>
		<cost3>0</cost3>
		<cost4>0</cost4>
	</node>
</root>
